id,text_snippet,labels,cleaned_text
1,The customer raised an objection about They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Objection, Competition, Positive",customer raised objection mentioned competitorx cheaper alternative appreciated analytics ai engine feature
2,The customer raised an objection about They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Objection, Competition",customer raised objection mentioned competitorx cheaper alternative appreciated analytics ai engine feature
3,The customer raised an objection about the pricing model and asked for a discount.,"Pricing Discussion, Objection",customer raised objection pricing model asked discount
4,The customer raised an objection about the pricing model and asked for a discount. They appreciated the analytics and AI engine features.,"Positive, Objection, Pricing Discussion",customer raised objection pricing model asked discount appreciated analytics ai engine feature
5,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Pricing Discussion, Security, Competition",pricing model asked discount inquired soc certification data handling mentioned competitorx cheaper alternative
6,The customer raised an objection about,Objection,customer raised objection
7,The customer raised an objection about They appreciated the analytics and AI engine features.,"Objection, Positive",customer raised objection appreciated analytics ai engine feature
8,They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Competition",mentioned competitorx cheaper alternative appreciated analytics ai engine feature
9,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Pricing Discussion, Competition",pricing model asked discount inquired soc certification data handling mentioned competitorx cheaper alternative
10,The customer raised an objection about the pricing model and asked for a discount. They appreciated the analytics and AI engine features.,"Objection, Pricing Discussion, Positive",customer raised objection pricing model asked discount appreciated analytics ai engine feature
11,The customer raised an objection about the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Security, Pricing Discussion, Objection",customer raised objection pricing model asked discount inquired soc certification data handling
12,the pricing model and asked for a discount. They appreciated the analytics and AI engine features.,"Pricing Discussion, Positive",pricing model asked discount appreciated analytics ai engine feature
13,The customer raised an objection about They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Objection, Security, Positive",customer raised objection inquired soc certification data handling appreciated analytics ai engine feature
14,The customer raised an objection about,Objection,customer raised objection
15,They mentioned CompetitorX as a cheaper alternative.,Competition,mentioned competitorx cheaper alternative
16,They mentioned CompetitorX as a cheaper alternative.,Competition,mentioned competitorx cheaper alternative
17,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Pricing Discussion",pricing model asked discount mentioned competitorx cheaper alternative
18,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Pricing Discussion, Competition",pricing model asked discount mentioned competitorx cheaper alternative appreciated analytics ai engine feature
19,They appreciated the analytics and AI engine features.,Positive,appreciated analytics ai engine feature
20,The customer raised an objection about,Objection,customer raised objection
21,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Pricing Discussion, Security, Competition",pricing model asked discount inquired soc certification data handling mentioned competitorx cheaper alternative
22,They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Competition",inquired soc certification data handling mentioned competitorx cheaper alternative
