id,text_snippet,labels,extracted_entities
1,The customer raised an objection about They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Objection, Competition, Positive","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
2,The customer raised an objection about They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Objection, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
3,The customer raised an objection about the pricing model and asked for a discount.,"Pricing Discussion, Objection","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
4,The customer raised an objection about the pricing model and asked for a discount. They appreciated the analytics and AI engine features.,"Positive, Objection, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}"
5,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Pricing Discussion, Security, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
6,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
7,The customer raised an objection about They appreciated the analytics and AI engine features.,"Objection, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
8,They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
9,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Pricing Discussion, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
10,The customer raised an objection about the pricing model and asked for a discount. They appreciated the analytics and AI engine features.,"Objection, Pricing Discussion, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}"
11,The customer raised an objection about the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Security, Pricing Discussion, Objection","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
12,the pricing model and asked for a discount. They appreciated the analytics and AI engine features.,"Pricing Discussion, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}"
13,The customer raised an objection about They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Objection, Security, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
14,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
15,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
16,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
17,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
18,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Pricing Discussion, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}"
19,They appreciated the analytics and AI engine features.,Positive,"{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
20,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
21,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Pricing Discussion, Security, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
22,They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
23,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Pricing Discussion, Security","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
24,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
25,The customer raised an objection about the pricing model and asked for a discount.,"Pricing Discussion, Objection","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
26,They mentioned CompetitorX as a cheaper alternative. They appreciated the analytics and AI engine features.,"Positive, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
27,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
28,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
29,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
30,They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Security, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
31,They appreciated the analytics and AI engine features.,Positive,"{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
32,The customer raised an objection about They inquired about SOC2 certification and data handling.,"Objection, Security","{'competitors': [], 'features': [], 'pricing_keywords': []}"
33,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
34,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
35,The customer raised an objection about They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Objection, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
36,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
37,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
38,The customer raised an objection about They inquired about SOC2 certification and data handling.,"Objection, Security","{'competitors': [], 'features': [], 'pricing_keywords': []}"
39,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Pricing Discussion, Security, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
40,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
41,The customer raised an objection about They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Objection, Competition, Security","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}"
42,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}"
43,They appreciated the analytics and AI engine features.,Positive,"{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
44,They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Security, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}"
45,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Pricing Discussion, Security","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}"
